Label,Category,Item,Total clicks,Contact ratio,Total contacts
wat-voor-retourmogelijkheden-heb-ik,,Retourproces,7,"97,00%",6
what-if-i-havent-received-a-refund,Payment,Refund of cancellation,7,"95,00%",4
how-do-i-create-a-business-account,Coolblue Business,Business order,7,"0,00%",0
welke-producten-kan-ik-bekijken-in-de-winkel,Overig,Voorraad en assortiment,7,"196,00%",2
qu-est-ce-qu-un-credit-d-achat,Payer,Réductions et crédits,7,"76,00%",2
does-ordered-today-delivered-tomorrow-still-apply,Delivery and installation,Other,7,"0,00%",0
ik-wil-mijn-product-in-de-winkel-retourneren,Ruilen en retourneren,Retourproces,7,"103,70%",6
wat-moet-ik-doen-om-mijn-product-te-laten-repareren,Overig,Reparatieproces,7,"87,00%",4
hoe-vaak-krijg-ik-een-update-over-mijn-reparatie,,Reparatiestatus,7,"154,20%",8
het-product-dat-ik-wil-kopen-is-in-prijs-gestegen-wat-nu,Bestellen,Acties op producten,7,"0,00%",0
kan-ik-contant-betalen,Winkels,Overig,7,"103,20%",5
wat-is-een-cashback-actie,Betalen,Cashback en productacties,7,"38,00%",2
wat-is-een-cashback,,,7,"31,80%",1
what-if-i-paid-with-ideal-but-havent-received-an-order-confirmation-yet,Payment,Payment failed or declined,7,"53,20%",3
que-faire-si-j-ai-paye-deux-fois,Payer,Paiement échoué ou refusé,7,"95,70%",6
kan-ik-een-pre-order-ook-ophalen-in-de-winkel,Winkels,Bestelling ophalen,7,"60,70%",4
i-dont-have-an-invoice,Payment,Send invoice,7,"24,20%",1
kan-ik-een-product-dat-betaald-is-met-een-cadeaubon-terugsturen,Bestellen,Overig,7,"0,00%",0
waar-is-mijn-pakketje,Advies en ondersteuning,,7,"136,50%",8
was-tun-wenn-mein-produkt-beschaedigt-geliefert-wurde,Liefern und installieren,Unvollständige oder beschädigte Bestellung,7,"59,00%",1
wat-voor-soort-garantie-heb-ik,,,7,"126,30%",5
will-i-get-the-full-purchase-amount-back-after-i-return-my-product,Exchange and return,Return handled incorrectly,7,"93,10%",7
wie-houdt-mij-op-de-hoogte-over-mijn-reparatie-coolblue-of-de-reparateur,Garantie en reparatie,Reparatieproces,7,"67,30%",5
wie-kommt-der-preis-eines-zweite-chance-produktes-zustande,Bestellen,Preis der Produkte,7,"44,00%",1
wie-lange-dauert-es-bis-ich-mein-neues-produkt-erhalte,Umtausch und Rückgabe,Rückgabestatus,7,"118,70%",8
hoe-kan-ik-betalen,Overig,Betaalmethodes,7,"26,40%",1
est-ce-que-je-recois-la-totalite-du-prix-d-achat-du-produit-que-j-ai-renvoye,Échange et retour,Processus de retour mal géré,7,"83,60%",6
is-reparatie-altijd-gratis,Overig,Reparatieproces,7,"177,10%",12
wanneer-heeft-mijn-product-gebruikersschade,,Overig,7,"279,30%",8
what-if-i-paid-with-bancontact-but-havent-received-an-order-confirmation,Order,No order confirmation received,7,"52,40%",3
hoe-kan-ik-een-bestelling-plaatsen,Overig,Overig,7,"34,80%",2
wie-melde-ich-online-meine-reparatur-an,Garantie und Reparatur,Sonstiges,7,"101,00%",3
wie-melde-ich-online-meine-retoure-an,Umtausch und Rückgabe,Rückgabebedingungen,7,"36,00%",1
why-was-my-credit-card-payment-canceled,Payment,Payment failed or declined,7,"0,00%",0
ist-die-lieferung-heute-noch-moeglich,Liefern und installieren,Liefer- und Anschlussservices,7,,0
hoe-meld-ik-online-mijn-retour-aan,Advies en ondersteuning,Overig,7,"79,30%",6
hoe-snel-wordt-ik-terugbetaald-na-retourneren,Overig,Retourstatus,7,"49,00%",1
is-een-cashback-mogelijk-op-een-tweedekansproduct,Betalen,Cashback en productacties,7,"0,00%",0
comment-est-determine-le-prix-d-un-produit-deuxieme-chance,Commander,Prix des produits,7,"41,80%",2
wat-als-mijn-product-beschadigd-is-geleverd,Bezorgen en installeren,Overig,7,"132,20%",8
wann-hat-mein-produkt-vom-benutzer-verursachten-schaden,Garantie und Reparatur,Sonstiges,7,"0,00%",0
what-if-i-paid-twice,Payment,Payment failed or declined,7,"139,00%",8
que-faire-si-je-n-ai-pas-recu-de-remboursement,Payer,Remboursement d'une annulation,6,"50,80%",3
ik-wil-mijn-adres-wijzigen,,,6,"56,20%",3
repareren-jullie-mijn-product-thuis-of-moet-ik-m-opsturen,Garantie en reparatie,Kosten van reparatie,6,"21,70%",1
wat-voor-soort-garantie-heb-ik,,Garantievoorwaarden,6,"0,00%",0
i-want-to-change-my-address,Order,Other,6,"64,50%",3
quand-est-ce-que-je-recois-mon-nouveau-produit-2,Échange et retour,Statut du processus de retour,6,"112,80%",7
what-happens-to-my-remaining-shop-credit,Payment,Discounts and credits,6,"52,20%",3
my-track-trace-says-my-package-was-delivered-but-i-havent-received-anything-how-is-that-possible,Delivery and installation,Order delayed or not delivered,6,"33,80%",2
waar-kan-ik-mijn-factuur-vinden,Overig,Zakelijk bestellen,6,"50,70%",2
how-does-free-delivery-work,Delivery and installation,Other,6,"0,00%",0
hoe-meld-ik-online-mijn-retour-aan,,,6,"0,00%",0
comment-creer-un-compte-business,Coolblue Business,Effectuer une commande professionnelle,6,"0,00%",0
hoe-moet-ik-mijn-product-inpakken-om-het-terug-te-sturen,Ruilen en retourneren,Overig,6,"71,30%",3
wat-moet-ik-doen-als-ik-mijn-pakket-niet-heb-ontvangen,,,6,"181,80%",7
wat-voor-retourmogelijkheden-heb-ik,Ruilen en retourneren,Overig,6,"80,00%",3
comment-enregistrer-mon-produit-retourne-en-ligne,Échange et retour,Signaler un retour ou un échange,6,"0,00%",0
mijn-bestelling-is-geleverd-maar-ik-heb-niet-alle-producten-ontvangen,Bezorgen en installeren,Overig,6,"84,50%",3
que-se-passe-t-il-si-je-ne-suis-pas-a-la-maison,Livraison et installation,Demander le statut de livraison,6,"38,80%",2
waar-is-mijn-pakketje,Overig,Overig,6,"111,00%",7
est-ce-que-vous-reprenez-mon-ancienne-television,Livraison et installation,Services de livraison et d'installation,6,"0,00%",0
est-ce-que-la-reparation-est-toujours-gratuite,Garantie et réparation,Cout de la réparation,6,"0,00%",0
hoe-kan-ik-mijn-persoonlijke-korting-gebruiken,Overig,Kortingen en tegoeden,6,"0,00%",0
wanneer-heeft-mijn-product-gebruikersschade,Advies en ondersteuning,Overig,6,"72,50%",4
wie-houdt-mij-op-de-hoogte-over-mijn-reparatie-coolblue-of-de-reparateur,Overig,Reparatiestatus,6,"79,50%",3
was-passiert-wenn-ich-keine-rueckzahlung-erhalten-habe,Bezahlen,Erstattung einer stornierten Bestellung,6,"93,50%",4
hoe-meld-ik-online-een-retour-aan-voor-een-zakelijke-bestelling-,Coolblue Zakelijk,Ruilen en retourneren,6,"42,20%",2
repareren-jullie-mijn-product-thuis-of-moet-ik-m-opsturen,Garantie en reparatie,Reparatie aanmelden,6,"93,80%",4
quels-sont-les-options-disponibles-pour-retourner-mon-produit,Échange et retour,Conditions de retour,6,"93,20%",6
quelles-sont-les-options-de-livraison-proposees-pour-les-produits-electromenagers,Livraison et installation,Autre,6,"0,00%",0
kan-ik-mijn-bestelling-wijzigen,Bezorgen en installeren,Bestelling vertraagd of niet geleverd,6,"92,70%",3
wie-oft-bekomme-ich-ein-update-zu-meiner-reparatur,Garantie und Reparatur,Reparaturstatus,6,"110,40%",6
is-het-nog-steeds-vandaag-besteld-morgen-in-huis,Overig,Overig,6,"49,30%",1
quel-type-de-garantie-s-applique-a-mon-appareil,Garantie et réparation,Autre,6,"141,80%",6
hoeveel-garantie-heb-ik-op-mijn-product,Garantie en reparatie,Kosten van reparatie,6,"50,50%",3
what-is-the-status-of-my-order,Other,,6,"67,00%",3
hoe-meld-ik-online-mijn-reparatie-aan,Garantie en reparatie,Kosten van reparatie,6,"34,00%",2
waar-kan-ik-mijn-factuur-vinden,Overig,Garantievoorwaarden,6,"0,00%",0
moet-ik-iets-betalen-voor-het-terugsturen-van-mijn-product,Garantie en reparatie,Reparatie aanmelden,6,"0,00%",0
mijn-product-werkt-niet-goed-wat-kan-ik-doen,,Garantievoorwaarden,6,"125,00%",6
do-i-have-to-pay-to-return-my-product,Warranty and repair,Cost of repair,6,"63,70%",2
wat-als-mijn-product-beschadigd-is-geleverd,Overig,Onvolledige of beschadigde bestelling,6,"88,50%",2
how-can-i-cancel-my-order,Order,Cancel order,6,"75,30%",5
how-do-i-register-my-return-online,Exchange and return,Return conditions,6,"139,80%",6
was-wenn-meine-reparatur-nicht-unter-die-werksgarantie-faellt,Garantie und Reparatur,Reparaturkosten,6,"150,30%",5
waarom-krijg-ik-een-prijsopgave,Garantie en reparatie,Reparatie aanmelden,6,"52,80%",2
when-is-my-product-considered-to-have-user-damage,Warranty and repair,Cost of repair,6,"0,00%",0
que-se-passe-t-il-avec-le-montant-restant-de-mon-credit-d-achat,Payer,Réductions et crédits,6,"45,20%",3
kan-ik-het-bezorgmoment-van-mijn-bestelling-wijzigen,Bezorgen en installeren,Overig,6,"33,20%",2
wie-kann-ich-meine-bestellung-aendern,Bestellen,Bestellung ändern,6,"46,40%",2
wat-als-mijn-bezorging-vertraagd-is,Bezorgen en installeren,Overig,6,"24,50%",1
wie-erstelle-ich-ein-geschaeftskonto,CoolblueBusiness,Geschäftlich bestellen,6,"30,00%",1
wanneer-krijg-ik-mijn-nieuwe-product,Overig,Retourstatus,5,"82,80%",4
comment-fonctionne-la-livraison-gratuite,Livraison et installation,Autre,5,"0,00%",0
waar-kan-ik-mijn-factuur-vinden,Overig,Betalen,5,"64,80%",3
ik-heb-geen-factuur,,Overig,5,"114,00%",5
how-can-i-change-my-order,Order,Other,5,"114,30%",3
bekomme-ich-garantie-auf-ein-zweite-chance-produkt,Garantie und Reparatur,Sonstiges,5,"91,00%",2
can-i-have-my-order-delivered-on-appointment,Delivery and installation,Other,5,"42,30%",2
hoe-kan-ik-mijn-cadeaubon-inwisselen,Betalen,Overig,5,"82,70%",2
wat-is-de-status-van-mijn-bestelling,Advies en ondersteuning,,5,"70,50%",1
schliesst-ihr-meinen-neuen-fernseher-an,Liefern und installieren,Liefer- und Anschlussservices,5,"0,00%",0
quel-est-le-statut-de-mon-retour,Échange et retour,Processus de retour,5,"0,00%",0
ik-wil-mijn-adres-wijzigen,Overig,Overig,5,"0,00%",0
hoe-retourneer-ik-mijn-artikelen,,Bezorgstatus opvragen,5,"97,00%",5
what-type-of-warranty-do-i-have,Warranty and repair,Other,5,"108,80%",5
hoe-retourneer-ik-mijn-artikelen,Bezorgen en installeren,Overig,5,"29,80%",1
ik-wil-mijn-retour-wijzigen-of-annuleren,Ruilen en retourneren,Retourproces,5,"43,80%",2
wann-hat-mein-produkt-vom-benutzer-verursachten-schaden,Garantie und Reparatur,Reparaturkosten,5,"54,30%",2
kann-ich-den-liefertermin-meiner-bestellung-aendern,Liefern und installieren,Bestellung verspätet oder nicht geliefert,5,"22,80%",1
wat-als-ik-met-ideal-heb-betaald-maar-nog-geen-orderbevestiging-heb-ontvangen,,,5,"38,00%",2
wat-als-ik-dubbel-betaald-heb,Overig,Overig,5,"122,40%",6
hoe-vraag-ik-een-cashback-aan,Advies en ondersteuning,Hulp bij installatie en gebruik,5,"86,50%",2
hoe-lang-duurt-een-reparatie,Garantie en reparatie,Reparatieproces,5,"67,00%",3
does-coolblue-offer-payment-afterwards,Payment,Payment methods,5,"254,30%",8
hoe-kan-ik-met-ecocheques-betalen,Winkels,Overig,5,"0,00%",0
kan-ik-mijn-product-laten-repareren-bij-coolblue,Advies en ondersteuning,,5,"43,70%",1
wordt-mijn-oude-apparaat-meegenomen,Overig,Bezorg- en installatieservices,5,"149,30%",4
wat-is-de-status-van-mijn-retourzending,Ruilen en retourneren,Retour of omruiling aanmelden,5,"75,80%",4
kan-ik-mijn-product-nog-ruilen-in-de-winkel,Winkels,Ruilen en retourneren,5,"39,00%",2
and-how-fast-will-i-receive-a-refund-after-return,Exchange and return,Return status,5,"64,60%",3
wat-gebeurt-er-als-ik-niet-thuis-ben,Overig,Bezorgstatus opvragen,5,"104,30%",4
waar-kan-ik-mijn-factuur-vinden,Garantie en reparatie,Overig,5,"61,30%",2
is-mijn-product-op-voorraad,Bestellen,,5,"100,00%",3
de-vervoerder-stuurt-mijn-bestelling-terug-naar-coolblue-wanneer-krijg-ik,Livraison et installation,Commande retardée ou non livrée,5,"94,40%",5
how-do-i-request-a-quote,Coolblue Business,Business order,5,"0,00%",0
comment-est-ce-que-je-recois-mon-remboursement,Payer,Remboursement d'une annulation,5,"31,40%",2
wat-moet-ik-doen-als-ik-mijn-pakket-niet-heb-ontvangen,Bezorgen en installeren,Bezorging wijzigen,5,"55,70%",2
waar-kan-ik-mijn-factuur-vinden,Overig,Orderbevestiging niet ontvangen,5,"0,00%",0
op-mijn-postnl-track--trace-staat-dat-mijn-pakket-bezorgd-is-maar-ik-heb-niks-ontvangen-hoe-kan-dat,,Bestelling vertraagd of niet geleverd,5,"42,70%",1
wat-als-mijn-bezorging-vertraagd-is,Bezorgen en installeren,Bezorg- en installatieservices,5,"90,00%",4
the-product-i-want-to-buy-has-increased-in-price-what-now,Order,Price of products,5,"80,40%",4
was-passiert-wenn-ich-nicht-zu-hause-bin,Liefern und installieren,Lieferstatus anfordern,5,"292,00%",3
hoe-retourneer-ik-mijn-artikelen,Ruilen en retourneren,Retour of omruiling aanmelden,5,"50,70%",2
hoe-maak-ik-een-zakelijk-account-aan-,Overig,Zakelijk bestellen,5,"0,00%",0
wo-kann-ich-meine-rechnung-finden,Bezahlen,Rechnung nachsenden,5,"0,00%",0
wat-gebeurt-er-als-ik-niet-thuis-ben,,,5,"73,80%",3
mijn-product-werkt-niet-goed-wat-kan-ik-doen,Ruilen en retourneren,Overig,5,"138,50%",6
how-can-i-change-my-order,Delivery and installation,Change delivery,5,"186,50%",7
quels-sont-les-modes-de-paiement-en-tant-que-client-business,Coolblue Business,Payer,5,"0,00%",0
can-i-order-products-without-vat,,Business order,5,"0,00%",0
hoe-meld-ik-online-mijn-reparatie-aan,,Reparatie aanmelden,5,"0,00%",0
hoe-retourneer-ik-mijn-artikelen,Overig,Retourproces,5,"0,00%",0
hoe-retourneer-ik-mijn-artikelen,Garantie en reparatie,Overig,5,"93,00%",4
kan-ik-mijn-factuur-wijzigen,Betalen,,5,"105,00%",5
installeren-jullie-mijn-nieuwe-televisie-voor-me,Overig,Bezorg- en installatieservices,5,"57,30%",2
ik-ben-niet-tevreden-over-de-bezorger-waar-kan-ik-mijn-ei-kwijt,Leveren en installeren,Bestelling vertraagd of niet geleverd,5,"69,60%",3
ou-aller-pour-savoir-si-un-produit-est-en-stock-dans-un-magasin,Magasins,Stock et assortiment,5,"0,00%",0
est-il-possible-de-renvoyer-mon-produit-en-magasin,Échange et retour,Signaler un retour ou un échange,5,"43,50%",2
hoe-retourneer-ik-mijn-artikelen,Bezorgen en installeren,Bestelling vertraagd of niet geleverd,5,"92,60%",5
where-can-i-find-my-invoice,Payment,Send invoice,5,"67,00%",1
hoe-werkt-het-als-je-witgoed-of-keukenapparatuur-besteld-met-extra-services,,,5,"0,00%",0
wie-lange-habe-ich-garantie-auf-mein-produkt,Umtausch und Rückgabe,Garantiebedingungen,5,"56,50%",1
is-reparatie-altijd-gratis,Garantie en reparatie,Reparatiestatus,5,"102,50%",4
kan-iemand-anders-mijn-bestelling-komen-afhalen-in-de-winkel,Winkels,Bestelling ophalen,5,"0,00%",0
hoe-kan-ik-betalen,Betalen,Betaling mislukt of geweigerd,5,"0,00%",0
hoeveel-garantie-heb-ik-op-mijn-product,Overig,Reparatie aanmelden,5,"0,00%",0
what-is-shop-credit,Payment,Discounts and credits,5,"46,50%",2
kunnen-jullie-me-helpen-bij-de-installatie-en-het-gebruik-van-mijn-product,Garantie en reparatie,Overig,5,"198,80%",10
kan-ik-extra-grote-producten-zoals-witgoed-en-keukenapparatuur-ook-online,Ruilen en retourneren,Retourproces,5,"33,30%",1
hoe-kan-ik-met-ecocheques-betalen,Overig,Betaalmethodes,5,"0,00%",0
ive-returned-multiple-products-why-did-I-only-get-a-refund-for-one?,Payment,Refund of cancellation,4,"49,00%",1
op-mijn-track--trace-staat-dat-mijn-pakje-bezorgd-is-maar-ik-heb-niks-ontvangen-hoe-kan-dat,Coolblue Zakelijk,Bezorging,4,"0,00%",0
kan-ik-mijn-bestelling-wijzigen,Bezorgen en installeren,Overig,4,"68,50%",1
is-reparatie-altijd-gratis,Ruilen en retourneren,Retourproces,4,"60,00%",2
repareren-jullie-mijn-product-thuis-of-moet-ik-m-opsturen,Advies en ondersteuning,Overig,4,"67,00%",3
what-is-the-status-of-my-return,Exchange and return,Return handled incorrectly,4,"132,30%",5
is-reparatie-altijd-gratis,Overig,Kosten van reparatie,4,"70,30%",2
hoe-kan-ik-betalen,Bestellen,Overig,4,"64,00%",1
kan-ik-mijn-bestelling-wijzigen,Overig,Bestelling wijzigen,4,"195,50%",8
op-welke-manieren-kan-in-betalen-als-zakelijke-klant,,Betaalmethodes,4,"92,00%",4
hoe-meld-ik-online-mijn-retour-aan,Garantie en reparatie,Reparatie aanmelden,4,"98,70%",3
kan-ik-mijn-bestelling-wijzigen,,,4,"77,00%",3
is-reparatie-altijd-gratis,Garantie en reparatie,"Telefoon-, iPad- en Apple accessoires",4,"60,00%",1
was-passiert-wenn-meine-lieferung-sich-verzoegert,Liefern und installieren,Lieferstatus anfordern,4,"95,30%",4
est-ce-que-vous-pouvez-m-aider-pour-l-installation-et-l-utilisation-de-mon-produit,Autre,Aide avec l'installation et l'utilisation,4,"0,00%",0
qui-m-informe-de-la-reparation-de-mon-produit-coolblue-ou-le-reparateur,Garantie et réparation,Statut de la réparation,4,"54,00%",2
wat-als-ik-met-ideal-heb-betaald-maar-nog-geen-orderbevestiging-heb-ontvangen,Bestellen,Overig,4,"0,00%",0
wie-storniere-ich-meine-bestellung,,Bestellung stornieren,4,"0,00%",0
comment-emballer-mon-produit-a-retourner,Échange et retour,Processus de retour,4,"205,00%",4
kan-ik-extra-grote-producten-zoals-witgoed-en-keukenapparatuur-ook-online,Ruilen en retourneren,Overig,4,"43,30%",2
kunnen-jullie-me-helpen-bij-de-installatie-en-het-gebruik-van-mijn-product,Overig,,4,"346,30%",14
hoe-kan-ik-met-ecocheques-betalen,,,4,"0,00%",0
est-ce-que-la-reparation-est-toujours-gratuite,Garantie et réparation,Autre,4,"152,30%",5
will-you-take-my-old-television-with-you-for-free,Delivery and installation,Delivery and installation services,4,"0,00%",0
kan-ik-met-ecocheques-betalen,Overig,Betaalmethodes,4,"66,00%",1
ou-est-mon-paquet,Autre,Demander le statut de livraison,4,"147,80%",6
wat-als-heb-betaald-met-bancontact-maar-geen-orderbevestiging-heb-ontvangen,Bestellen,Overig,4,"42,70%",1
ik-kan-mijn-coolbluetegoed-niet-verrekenen-wat-nu,Overig,Kortingen en tegoeden,4,"0,00%",0
extra-grote-producten-aanmelden-reparatie,,,4,"0,00%",0
wat-als-mijn-reparatie-niet-onder-de-fabrieksgarantie-valt,Garantie en reparatie,Reparatie aanmelden,4,"0,00%",0
comment-modifier-ma-commande,Commander,Modifier votre commande,4,"73,80%",3
was-kann-ich-machen-wenn-ich-mein-versandetikett-nicht-ausdrucken-kann,Umtausch und Rückgabe,Sonstiges,4,"143,00%",6
extra-grote-producten-aanmelden-reparatie,Garantie en reparatie,Reparatieproces,4,"0,00%",0
what-happens-if-i-m-not-home,Delivery and installation,Order delayed or not delivered,4,"0,00%",0
where-can-i-find-my-invoice,Other,Other,4,"0,00%",0
wat-voor-retourmogelijkheden-heb-ik,Coolblue Zakelijk,Ruilen en retourneren,4,"0,00%",0
ou-consulter-le-statut-de-mon-remboursement,Payer,Remboursement d'une annulation,4,"39,30%",2
where-can-i-see-the-status-of-my-refund,Payment,Refund of cancellation,4,"131,00%",4
ik-wil-mijn-adres-wijzigen,Leveren en installeren,Overig,4,"0,00%",0
kan-ik-mijn-product-retourneren,Overig,Retourvoorwaarden,4,"0,00%",0
how-can-i-change-my-invoice,Payment,Change invoice,4,"75,00%",2
quels-sont-les-differents-modes-de-paiement,Autre,Méthodes de payement,4,"0,00%",0
hoe-retourneer-ik-mijn-artikelen,Advies en ondersteuning,Overig,4,"153,80%",6
waar-kan-ik-mijn-factuur-vinden,Ruilen en retourneren,,4,"0,00%",0
kunnen-jullie-me-helpen-bij-de-installatie-en-het-gebruik-van-mijn-product,Bezorgen en installeren,Hulp bij installatie en gebruik,4,"33,50%",1
how-much-warranty-do-i-have-on-my-product,Warranty and repair,Register a repair,4,"92,70%",3
wat-zijn-de-retour-voorwaarden-voor-zakelijke-bestellingen,Coolblue Zakelijk,Ruilen en retourneren,4,"0,00%",0
was-passiert-wenn-ich-nicht-zu-hause-bin,Liefern und installieren,Bestellung verspätet oder nicht geliefert,4,"54,30%",2
wat-moet-ik-doen-als-ik-mijn-verzendlabel-niet-kan-printen,Échange et retour,Processus de retour,4,"0,00%",0
ik-wil-mijn-retour-wijzigen-of-annuleren,Ruilen en retourneren,Retour of omruiling aanmelden,4,"148,50%",3
und-wie-schnell-bekomme-ich-nach-der-rueckgabe-mein-geld-zurueck,Bezahlen,Erstattung einer stornierten Bestellung,4,"125,30%",4
mijn-bestelling-gaat-terug-naar-coolblue-wat-moet-ik-doen-als-ik-hem-alsnog,Bezorgen en installeren,Bestelling vertraagd of niet geleverd,4,"70,50%",3
repareren-jullie-mijn-product-thuis-of-moet-ik-m-opsturen,,,4,"0,00%",0
est-ce-que-je-peux-passer-une-commande-a-credit-en-ligne,Coolblue Business,Payer,4,"62,50%",1
kan-ik-mijn-bestelling-op-afspraak-laten-bezorgen,Bezorgen en installeren,Bezorg- en installatieservices,4,"0,00%",0
est-il-possible-d-enregistrer-en-ligne-des-produits-comme-l-electromenager-et-les-appareils-de-cuisine-avant-de-les-retourner,Échange et retour,Signaler un retour ou un échange,4,"45,70%",1
hoe-retourneer-ik-mijn-artikelen,,,4,"0,00%",0
kan-ik-mijn-bestelling-wijzigen,Overig,Overig,4,"71,00%",3
hoe-kan-ik-de-bezorger-verrassen,Leveren en installeren,Bestelling vertraagd of niet geleverd,4,"206,00%",6
hoe-kan-ik-mijn-bestelling-wijzigen,Bestellen,Overig,4,"0,00%",0
de-vervoerder-stuurt-mijn-bestelling-terug-naar-coolblue-wanneer-krijg-ik,Leveren en installeren,Bestelling vertraagd of niet geleverd,4,"0,00%",0
waarom-heb-ik-mijn-gratis-product-niet-ontvangen,Betalen,Cashback en productacties,4,"0,00%",0
pouvez-vous-livrer-ma-commande-aujourd-hui,Livraison et installation,Services de livraison et d'installation,4,"91,50%",2
wat-moet-ik-doen-als-ik-mijn-pakket-niet-heb-ontvangen,Leveren en installeren,Bestelling vertraagd of niet geleverd,4,"140,80%",6
hoe-meld-ik-online-mijn-retour-aan,Overig,Overig,4,"167,30%",5
waar-kan-ik-mijn-factuur-vinden,Bestellen,Orderbevestiging niet ontvangen,4,"66,50%",3
que-faire-pour-renvoyer-mon-produit,Autre,Autre,4,"131,00%",1
op-mijn-postnl-track--trace-staat-dat-mijn-pakket-bezorgd-is-maar-ik-heb-niks-ontvangen-hoe-kan-dat,Advies en ondersteuning,Overig,4,"107,80%",4
kan-ik-mijn-bestelling-op-afspraak-laten-bezorgen,Overig,,4,"104,30%",3
kan-ik-het-bezorgmoment-van-mijn-bestelling-wijzigen,Bezorgen en installeren,Bezorgstatus opvragen,4,"88,70%",3
wat-moet-ik-doen-om-mijn-product-te-retourneren,Overig,Overig,4,"0,00%",0
wanneer-krijg-ik-mijn-nieuwe-product,Ruilen en retourneren,Retourproces,4,"116,80%",5
wat-is-de-status-van-mijn-bestelling,,,4,"0,00%",0
waar-vind-ik-mijn-track-en-trace,Leveren en installeren,Bestelling vertraagd of niet geleverd,4,"36,50%",1
hoe-vraag-ik-een-cashback-aan,Ruilen en retourneren,Overig,4,"95,30%",3
wat-is-de-status-van-mijn-bestelling,Garantie en reparatie,,4,"78,00%",3
wat-betekent-de-voorraadstatus-tijdelijk-uitverkocht,Overig,Voorraad van producten,4,"0,00%",0
what-return-options-do-i-have,Exchange and return,Return process,4,"0,00%",0
op-mijn-postnl-track--trace-staat-dat-mijn-pakket-bezorgd-is-maar-ik-heb-niks-ontvangen-hoe-kan-dat,,,4,"69,00%",1
ik-wil-mijn-product-in-de-winkel-retourneren,Overig,Retour of omruiling aanmelden,4,"97,70%",3
kan-ik-het-levermoment-van-mijn-bestelling-wijzigen,Delivery and installation,Order delayed or not delivered,4,"32,80%",1
how-soon-will-i-receive-a-refund-after-return,Payment,Refund of cancellation,4,"126,00%",4
wat-moet-ik-doen-om-mijn-product-te-laten-repareren,Garantie en reparatie,Kosten van reparatie,4,"0,00%",0
koennt-ihr-mir-bei-der-einrichtung-und-verwendung-meines-produkts-helfen,Sonstiges,Hilfe bei Installation und Verwendung,4,"338,00%",3
pourquoi-mon-paiement-a-ete-refuse,Payer,Paiement échoué ou refusé,4,"0,00%",0
ik-wil-mijn-adres-wijzigen,Leveren en installeren,Bestelling vertraagd of niet geleverd,4,"62,80%",3
hoe-kan-ik-betalen,,,4,"0,00%",0
wie-houdt-mij-op-de-hoogte-over-mijn-reparatie-coolblue-of-de-reparateur,Garantie en reparatie,Overig,4,"102,30%",4
can-i-change-the-delivery-moment-of-my-order,Delivery and installation,Order delayed or not delivered,4,"148,70%",4
mijn-product-werkt-niet-goed-wat-kan-ik-doen,Ruilen en retourneren,Retour of omruiling aanmelden,4,"137,50%",6
i-dont-have-an-invoice,Other,Other,4,"0,00%",0
was-passiert-mit-uebrig-gebliebenem-shopguthaben,Bezahlen,Rabatte und Guthaben,4,"59,50%",1
kan-ik-mijn-factuur-wijzigen,Coolblue Zakelijk,Betalen,3,"129,70%",4
my-product-doesn-t-work-well-what-can-i-do,Warranty and repair,Other,3,"42,70%",1
waar-kan-ik-mijn-factuur-vinden,Coolblue Zakelijk,Betalen,3,"124,50%",2
wat-is-de-status-van-mijn-retourzending,Garantie en reparatie,Reparatiestatus,3,"254,30%",8
wordt-mijn-oude-apparaat-meegenomen,,,3,"0,00%",0
wie-erhalte-ich-meine-rueckerstattung,Bezahlen,Erstattung einer stornierten Bestellung,3,"131,00%",3
ik-wil-mijn-retour-wijzigen-of-annuleren,Overig,Retournering of omruiling wijzigen,3,"158,00%",5
what-happens-if-i-m-not-home,Delivery and installation,Other,3,"89,30%",3
gelden-acties-en-promoties-ook-op-tweedekans,Bestellen,Overig,3,"179,00%",2
kan-ik-mijn-bestelling-wijzigen,Bezorgen en installeren,Bezorg- en installatieservices,3,"0,00%",0
can-i-pay-with-a-vvv-gift-card,Payment,Payment methods,3,"42,00%",1
est-ce-que-je-peux-payer-avec-des-ecocheques,Autre,Méthodes de payement,3,,0
hoe-meld-ik-online-mijn-retour-aan,Ruilen en retourneren,Retourstatus,3,"0,00%",0
wat-voor-retourmogelijkheden-heb-ik,Advies en ondersteuning,Overig,3,"205,00%",6
je-veux-changer-mon-adresse,Commander,Autre,3,"0,00%",0
hoe-kan-ik-mijn-bestelling-wijzigen,Bestellen,Bestelling annuleren,3,"106,00%",2
hoe-kan-ik-betalen,Betalen,Kortingen en tegoeden,3,"0,00%",0
tot-wanneer-is-mijn-coolbluetegoed-geldig,,Overig,3,"70,00%",1
hoe-retourneer-ik-mijn-artikelen,Overig,Reparatie aanmelden,3,"42,30%",1
est-ce-que-je-peux-egalement-recuperer-mon-paquet-dans-un magasin-coolblue,Magasins,Récupérer votre commande,3,"66,50%",1
comment-echanger-mon-cheque-cadeau,Payer,Autre,3,"0,00%",0
wat-moet-ik-doen-als-ik-mijn-verzendlabel-niet-kan-printen,Ruilen en retourneren,Overig,3,"67,70%",2
mijn-bestelling-gaat-terug-naar-coolblue-waarom-kan-mijn-bestelling-niet,Bezorgen en installeren,Bestelling vertraagd of niet geleverd,3,"164,70%",5
